"OTU_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"esv_11133","Fungi",NA,NA,NA,NA,NA,NA
"esv_10883","Fungi","Glomeromycota",NA,NA,NA,NA,NA
"esv_10882","Fungi",NA,NA,NA,NA,NA,NA
"esv_17361","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cyphellaceae",NA,NA
"esv_17360","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys","Clonostachys rosea "
"esv_10887","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Exidiaceae",NA,NA
"esv_2317","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_10669","Fungi",NA,NA,NA,NA,NA,NA
"esv_10668","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Canoparmelia","Canoparmelia cryptochlorophaea "
"esv_10667","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"esv_8665","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_10665","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"esv_10664","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Cystobasidium","Cystobasidium sp "
"esv_10663","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Clitopilus",NA
"esv_10662","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Lecanicillium","Lecanicillium sp "
"esv_1855","Fungi","Entomophthoromycota","Basidiobolomycetes","Basidiobolales","Basidiobolaceae","Basidiobolus","Basidiobolus magnus "
"esv_21441","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_21403","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae_sedis","Nigrograna","Nigrograna sp "
"esv_8667","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"esv_2799","Fungi",NA,NA,NA,NA,NA,NA
"esv_2798","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA
"esv_2797","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Hyphodermataceae","Hyphoderma","Hyphoderma nudicephalum "
"esv_2796","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"esv_2795","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"esv_2794","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"esv_2793","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_2792","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"esv_2791","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales",NA,NA,NA
"esv_2790","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA
"esv_3123","Fungi","Ascomycota","Sordariomycetes","Savoryellales","Savoryellaceae","Canalisporium","Canalisporium pulchrum "
"esv_21191","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor",NA
"esv_2316","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp "
"esv_3690","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_16566","Fungi","Ascomycota",NA,NA,NA,NA,NA
